13:24:57.751391 config: drop-rate=0.00, max-delay=0s, seed=1
17:43:33.832302 [queue=1] packet #2248870275, 127.0.0.1:63059 -> 127.0.0.1:90, sz=7 is delayed for 2.1ms
17:43:33.835290 [queue=0] packet #2248870275, 127.0.0.1:63059 -> 127.0.0.1:90, sz=7 is delivered
17:43:34.335990 [queue=1] packet #2248870275, 127.0.0.1:63059 -> 127.0.0.1:90, sz=7 is delayed for 9.9ms
17:43:34.345984 [queue=0] packet #2248870275, 127.0.0.1:63059 -> 127.0.0.1:90, sz=7 is delivered
17:43:34.839676 [queue=1] packet #2248870275, 127.0.0.1:63059 -> 127.0.0.1:90, sz=7 is delayed for 500µs
17:43:34.840664 [queue=0] packet #2248870275, 127.0.0.1:63059 -> 127.0.0.1:90, sz=7 is delivered
17:43:35.343359 [queue=1] packet #2248870275, 127.0.0.1:63059 -> 127.0.0.1:90, sz=7 is delayed for 3.8ms
17:43:35.348349 [queue=0] packet #2248870275, 127.0.0.1:63059 -> 127.0.0.1:90, sz=7 is delivered
17:43:35.848042 [queue=1] packet #2248870275, 127.0.0.1:63059 -> 127.0.0.1:90, sz=7 is delayed for 5.5ms
17:43:35.854050 [queue=0] packet #2248870275, 127.0.0.1:63059 -> 127.0.0.1:90, sz=7 is delivered
17:43:36.351732 [queue=1] packet #2248870275, 127.0.0.1:63059 -> 127.0.0.1:90, sz=7 is delayed for 1ms
17:43:36.353740 [queue=0] packet #2248870275, 127.0.0.1:63059 -> 127.0.0.1:90, sz=7 is delivered
17:43:36.856417 [queue=1] packet #2248870275, 127.0.0.1:63059 -> 127.0.0.1:90, sz=7 is delayed for 5.6ms
17:43:36.862415 [queue=0] packet #2248870275, 127.0.0.1:63059 -> 127.0.0.1:90, sz=7 is delivered
17:43:37.360118 [queue=1] packet #2248870275, 127.0.0.1:63059 -> 127.0.0.1:90, sz=7 is delayed for 2.8ms
17:43:37.364105 [queue=0] packet #2248870275, 127.0.0.1:63059 -> 127.0.0.1:90, sz=7 is delivered
17:43:37.863448 [queue=1] packet #2248870275, 127.0.0.1:63059 -> 127.0.0.1:90, sz=7 is delayed for 200µs
17:43:37.864447 [queue=0] packet #2248870275, 127.0.0.1:63059 -> 127.0.0.1:90, sz=7 is delivered
17:43:38.368141 [queue=1] packet #2248870275, 127.0.0.1:63059 -> 127.0.0.1:90, sz=7 is delayed for 4.6ms
17:43:38.375143 [queue=0] packet #2248870275, 127.0.0.1:63059 -> 127.0.0.1:90, sz=7 is delivered
17:43:38.871829 [queue=0] packet #2248870275, 127.0.0.1:63059 -> 127.0.0.1:90, sz=7 is dropped
17:43:39.375519 [queue=1] packet #2248870275, 127.0.0.1:63059 -> 127.0.0.1:90, sz=7 is delayed for 200µs
17:43:39.377519 [queue=0] packet #2248870275, 127.0.0.1:63059 -> 127.0.0.1:90, sz=7 is delivered
17:43:39.880217 [queue=1] packet #2248870275, 127.0.0.1:63059 -> 127.0.0.1:90, sz=7 is delayed for 4.7ms
17:43:39.885196 [queue=0] packet #2248870275, 127.0.0.1:63059 -> 127.0.0.1:90, sz=7 is delivered
17:43:40.383894 [queue=1] packet #2248870275, 127.0.0.1:63059 -> 127.0.0.1:90, sz=7 is delayed for 7.7ms
17:43:40.393892 [queue=0] packet #2248870275, 127.0.0.1:63059 -> 127.0.0.1:90, sz=7 is delivered
17:43:40.888149 [queue=1] packet #2248870275, 127.0.0.1:63059 -> 127.0.0.1:90, sz=7 is delayed for 9.6ms
17:43:40.899143 [queue=0] packet #2248870275, 127.0.0.1:63059 -> 127.0.0.1:90, sz=7 is delivered
17:43:41.392835 [queue=1] packet #2248870275, 127.0.0.1:63059 -> 127.0.0.1:90, sz=7 is delayed for 2.3ms
17:43:41.396830 [queue=0] packet #2248870275, 127.0.0.1:63059 -> 127.0.0.1:90, sz=7 is delivered
17:43:41.896521 [queue=1] packet #2248870275, 127.0.0.1:63059 -> 127.0.0.1:90, sz=7 is delayed for 3.7ms
17:43:41.901519 [queue=0] packet #2248870275, 127.0.0.1:63059 -> 127.0.0.1:90, sz=7 is delivered
17:43:42.401212 [queue=1] packet #2248870275, 127.0.0.1:63059 -> 127.0.0.1:90, sz=7 is delayed for 4.1ms
17:43:42.406209 [queue=0] packet #2248870275, 127.0.0.1:63059 -> 127.0.0.1:90, sz=7 is delivered
17:43:42.904304 [queue=1] packet #2248870275, 127.0.0.1:63059 -> 127.0.0.1:90, sz=7 is delayed for 3.3ms
17:43:42.908291 [queue=0] packet #2248870275, 127.0.0.1:63059 -> 127.0.0.1:90, sz=7 is delivered
17:43:43.407979 [queue=1] packet #2248870275, 127.0.0.1:63059 -> 127.0.0.1:90, sz=7 is delayed for 9.1ms
17:43:43.417977 [queue=0] packet #2248870275, 127.0.0.1:63059 -> 127.0.0.1:90, sz=7 is delivered
17:43:43.910986 [queue=1] packet #2248870275, 127.0.0.1:63059 -> 127.0.0.1:90, sz=7 is delayed for 7.8ms
17:43:43.918986 [queue=0] packet #2248870275, 127.0.0.1:63059 -> 127.0.0.1:90, sz=7 is delivered
17:43:44.414017 [queue=1] packet #2248870275, 127.0.0.1:63059 -> 127.0.0.1:90, sz=7 is delayed for 4.6ms
17:43:44.420011 [queue=0] packet #2248870275, 127.0.0.1:63059 -> 127.0.0.1:90, sz=7 is delivered
17:43:44.918705 [queue=1] packet #2248870275, 127.0.0.1:63059 -> 127.0.0.1:90, sz=7 is delayed for 4ms
